sample_type,batch_file,tweet_id,text,images,label,author,post_url,date_posted,topic,error_category,flagging_tweet_text,flagging_tweet_authors
fake_sample,batch1,1,No none...,./media/batch1/1/images/img0.jpeg,False,Gregory *▄︻デ═══一,https://x.com/Greg4Trump/status/1817934830073446531,2024-07-29 14:46:53,Politics-United-States-Presidential-Election,Deepfakes,And these two images of Kamala Harris alongside Jeffrey Epstein are both obviously AI-generated and fake.,Shayan Sardarizadeh
fake_sample,batch1,2,Our government has failed us again.,./media/batch1/2/images/img0.jpeg,False,Buzz Patterson,https://x.com/BuzzPatterson/status/1841659195579629833,2024-10-03 01:59:03,Nature,Deepfakes,"Another day, another AI generated image of a hurricane Helene victim is doing the rounds. Tell tale signs include the unnatural sheen, a disappearing green boat and a man with a seemingly missing limb in the background. | It's been several days since this purported image of a child affected by Hurricane Helene was widely debunked as an AI-generated fake, and somehow Glenn Beck is still sharing it with his 1.9 million followers today as if it's real.",Olga Robinson; Shayan Sardarizadeh
fake_sample,batch1,3,"We have to help these victims.  Please post anything to offer locations for assistance, supplies needed, etc.  Comrad Kamala and Sleepy Joe have deserted them.",./media/batch1/3/images/img0.jpeg,False,Juanita Broaddrick,https://x.com/atensnut/status/1841132808284103069,2024-10-01 15:07:22,Nature,Deepfakes,This is not a real photo of a hurricane Helene victim. The image is AI generated - obvious from the unnatural sheen and weird details like the black patch on the hand,Olga Robinson
fake_sample,batch1,4,This image reflects current policing strategy perfectly.,./media/batch1/4/images/img0.jpeg,False,Paul Golding,https://x.com/GoldingBF/status/1824007235686559911,2024-08-15 08:56:28,Society,Deepfakes,"The poster doesn’t make it clear but the image is clearly AI generated.You can see some heads missing, extra feet and some slightly odd body shapes.",Olga Robinson
fake_sample,batch1,5,"🚨 TUCKER CARLSON ASSASSINATION PLOT FOILED.Russian forces reportedly arrested a man for a planned attack on Tucker, allegedly orchestrated by Ukraine's Intelligence.The plot allegedly involved an IED targeting Carlson's vehicle at the Four Seasons hotel.The suspect reportedly admitted to receiving $4000 for the attack's execution after being caught.Source: INTEL-DROP",./media/batch1/5/images/img0.jpeg,False,Mario Nawfal,https://x.com/MarioNawfal/status/1762188260644659282,2024-02-26 18:49:55,Politics-other,De-contextualization,Claims that Russia has thwarted an assassination attempt on Tucker Carlson have been viewed millions of times on X.The source? A video on an obscure YT channel amplified by a website that routinely spreads pro-Kremlin disinformation🧵,Olga Robinson
fake_sample,batch1,6,"This photo needs to be the front page of,every news paper in the world.20 tents full of displaced families buried,alive in Gaza.",./media/batch1/6/images/img0.jpeg,False,Mohamad Safa,https://x.com/talhagin/status/1842082081595105381,2024-10-24 21:59:00,Politics-Warfare-Israel-Palestine,Deepfakes,"Based on a reverse-image search, this image is part of an AI artwork created on July 17th and spread via a few accounts. The full video (showcased below) showcases it to clearly be AI-generated.  https://x.com/mhdksafa/statu/mhdksafa/status/1841915936237854887",Tal Hagin
fake_sample,batch1,7,"OMG, all is lost!... Orcs, surrender!!...  Ukrops are entering Kursk!!!...Wait a second...  That's not the Russian letter У...  That's a Y...🤡🐷🤡",./media/batch1/7/images/img0.jpeg,False,"Ignorance, the root and stem of all evil",https://x.com/ivan_8848/status/1825331658909692382,2024-08-19 00:39:15,Politics-Warfare-War-in-Ukraine,Deepfakes,"Beyond the oddity of the letter Y, there are several other issues that clearly show this was AI, namely the fingers and the patches.",Tal Hagin
fake_sample,batch1,8,Look what I found.  Trumps own mother says it. Let’s get it trending. #disasterTrump,./media/batch1/8/images/img0.jpeg; ./media/batch1/8/images/img1.jpeg,False,Robert Stern,https://x.com/RobertCStern/status/1845968561493127381,2024-10-14 23:22:56,Politics-United-States-Presidential-Election,Deepfakes,"Pretty sure this meme, which features a fake quote attributed to Mary Anne MacLeod Trump, has been circulating online since 2017.Here it is again seven years later, with 63,000 likes and 2 million views.",Shayan Sardarizadeh
fake_sample,batch1,9,Get ready for lots of rage from Mar a lago tonight.,./media/batch1/9/images/img0.jpeg; ./media/batch1/9/images/img1.jpeg,False,Joe G,https://x.com/EastEndJoe/status/1829335418711498927,2024-08-30 01:48:45,Politics-United-States-Presidential-Election,Deepfakes,"This image of a Fox News poll, viewed 330,000 times, is totally fake. None of these poll numbers for Harris and Trump are real.",Shayan Sardarizadeh
fake_sample,batch1,10,"Imagine still believing in this never ending hoax. The climate cult hoaxers have never been right about a single prediction in 50 years. And yet, despite a 0.00% record of their dire predictions, there’s still gullible fools who make it their religion.",./media/batch1/10/images/img0.jpeg,False,Catturd ™,https://x.com/catturd2/status/1823515844497866896,2024-08-14 00:23:51,Society,Deepfakes,"In today's shock news, influencer Catturd appears unaware that the supposed 1977 Time magazine front cover warning of a 'coming ice age' that he's posted is fake.The real Time cover, published in 2007,  is actually about global warming.",Shayan Sardarizadeh
fake_sample,batch1,11,Become woke’s worst nightmare.,./media/batch1/11/images/img0.jpeg,False,iamyesyouareno,https://x.com/iamyesyouareno/status/1776485923707834809,2024-04-06T05:43:44,Society,De-contextualization,AI-generated images are apparently 'woke's worst nightmare'.,Shayan Sardarizadeh
fake_sample,batch1,12,🚨BREAKING🚨 — Former President Jimmy Carter has passed away. He was 99 years old.,./media/batch1/12/images/img0.jpeg; ./media/batch1/12/images/img1.jpeg,False,Boccaccio ✺,https://x.com/Bocc_accio/status/1815661822805958679,2024-07-23 08:14:46,Politics-other,Deepfakes,"Some 'citizen journalists' on this app are sharing a blatantly fake letter from the office of former President Jimmy Carter announcing his death. | A supposed letter from the office of Jimmy Carter announcing his death went viral today, amplified by US media outlets and a senator.It was a hoax.https://factcheck.afp.com/doc.afp.com.364T47M",Shayan Sardarizadeh; Bill McCarthy
fake_sample,batch1,13,KAMALA HARRIS IS PART OF A CULT ⚠️ Her purple suit and white bead necklace were intentional. They were trying to manifest her becoming president since day 1 by copying Lisa from the Simpsons 🚨 KEEP THIS WOMAN AND HER CREEPY HUSBAND AWAY FROM THE WHITE HOUSE AT ALL COSTS 🚨,./media/batch1/13/images/img0.jpeg,False,Matt Wallace,https://x.com/MattWallace888/status/1815201576144851124,2024-07-22 01:45:55,Politics-United-States-Presidential-Election,De-contextualization,One of the biggest conspiracy theorists on this platform continues to outdo himself.,Shayan Sardarizadeh
fake_sample,batch1,14,"It’s my birthday today, and a wish from you could make it even brighter😊😊😊",./media/batch1/14/images/img0.jpeg,False,Alma Hanna,https://x.com/hannanative/status/1846736456028664167,2024-10-17 02:14:16,Society,De-contextualization,Engagement farming with AI-generated female soldiers demanding birthday wishes 🥴,Shayan Sardarizadeh
fake_sample,batch1,15,Where is this?,./media/batch1/15/images/img0.jpeg,False,Morgan J. Freeman,https://x.com/mjfree/status/1838734829011059007,2024-09-25 00:18:39,Society,Deepfakes,"Nowhere, dude. It's AI-generated.",Shayan Sardarizadeh
fake_sample,batch1,16,THEIR ALREADY LINING UP FOR THE ANTHOLOGY WTF Y'ALL GO HOME 🏡 😭 ,https://pbs.twimg.com/media/GdhGF8tWMAAAZ1z.jpg,False,Autumn's version 🍁🍂,https://x.com/aurorabora518/status/1862315515860971775,2024-11-29 01:59:53,Entertainment,Misattributed Images,This is a photo from 2017 it has no association with Taylor Swift,Helpful Community Notes
fake_sample,batch1,17,A view of the #Northernlights #Brighton ^ Hove,./media/batch1/17/images/img0.jpeg,False,𝕏,https://x.com/brightonfy/status/1844490507839472094,2024-10-10 21:29:40,Nature,De-contextualization,Correction: An AI-generated view of the Northern Lights in Brighton.,Shayan Sardarizadeh
fake_sample,batch1,18,Is this real? A “billionaire” is donating $1300??? Embarrassing.,./media/batch1/18/images/img0.jpeg,False,Morgan J. Freeman,https://x.com/mjfree/status/1845634245126934679,2024-10-14 01:14:28,Politics-United-States-Presidential-Election,Deepfakes,"This image, viewed 500,000 times, claims to show Fox News reporting that Donald Trump is donating '$1,300 for hurricane relief'.The image is AI-generated and fake.",Shayan Sardarizadeh
fake_sample,batch1,19,In picture : Hezbollah has captured many Zionist terrorists in South Lebanon.,./media/batch1/19/images/img0.jpeg,False,Haider 🇮🇷 🇱🇧,https://x.com/HaiderAli099/status/1846819909021442156,2024-10-17 07:45:53,Politics-Warfare-Lebanon-Israel Conflict,Deepfakes,"This widely shared image, claiming to show IDF soldiers captured by Hezbollah, is AI-generated and fake.The bizarre rifles, tactical gear and inelligible Hebrew on the vests are all signs of AI.Fact-checked by @GhonchehAzad",Shayan Sardarizadeh
fake_sample,batch1,20,💥The Diddy Client List goes all the way to the top💥,./media/batch1/20/images/img0.jpeg,False,Red Pill USA,https://x.com/Red_Pill_US/status/1835886287980757147,2024-09-17 03:39:34,Politics-other,Deepfakes,An image that appears to show Kamala Harris with Sean 'Diddy' Combs is altered. In the 2001 photo Harris is posing with talk show host Montel Williams and his daughter https://u.afp.com/5EEb,HoaxEye
fake_sample,batch1,21,oops,./media/batch1/21/images/img0.jpeg,False,Andrew Stiles,https://x.com/AndrewStilesUSA/status/1820459027878342657,2024-08-05T13:57:09.000Z,Politics-United-States-Presidential-Election,Deepfakes,🚨Please note: This is a fake image that is circulating.,Washington Post PR
fake_sample,batch1,22,Is this real?! Did Kamala Harris really say this?????,./media/batch1/22/images/img0.jpeg; ./media/batch1/22/images/img1.jpeg,False,Philip Anderson,https://x.com/VoteHarrisOut/status/1817253464172646577,2024-07-27 17:39:23,Politics-United-States-Presidential-Election,Deepfakes,"Fake Kamala Harris quotes and social media posts continue to spread online.She did not post, for example, that a controversial scene from the Olympics opening ceremony was what the United States should 'strive towards.'https://factcheck.afp.com/doc.afp.com.368H493",Bill McCarthy
